area,bedrooms,bathrooms,price
1000,2,1,3000000
1200,2,2,3500000
1500,3,2,4500000
1800,3,3,5500000
2000,4,3,6500000
2200,4,4,7000000
2500,4,4,8000000
2700,5,4,9000000
3000,5,5,10000000
3200,5,5,11000000
3778,4,2,10474.41639671366
3350,4,1,10918.590222250106
1567,2,1,3986.442356662875
3341,2,3,10088.04233614687
1305,1,1,3648.1196905550046
3718,3,1,10771.632952231266
4008,2,2,12003.761614888706
3593,2,1,10350.90087988404
4836,4,4,14553.817302553012
4252,1,2,12906.965002867513
2327,4,2,6698.8153778326405
3573,1,3,11259.605139987832
4177,2,3,12404.624415989589
2151,3,3,6376.9933282887205
3644,1,2,10331.414197052418
1141,3,2,2522.7018140180253
4113,1,1,11676.115706448436
3044,4,3,9352.112015113235
4084,2,4,13211.736961643846
2394,2,4,7345.086890115762
4133,2,1,11609.972592429436
1726,3,4,5633.937974264125
1402,2,4,4977.976350389468
3552,3,2,10347.57275659296
1752,2,2,4837.351956274571
2466,3,1,7811.312496119039
1261,3,3,3912.461393038547
3178,1,2,10234.367644320588
4847,4,3,15518.264274692212
3512,4,1,10330.856641856208
1066,4,4,3021.259912173964
3361,4,2,9149.614637450535
4887,3,4,14672.84611023799
2252,2,1,6776.182461075026
2316,2,4,7891.592281089388
1134,3,3,3147.2159027854195
1318,4,4,4714.883098172046
2951,4,2,9522.638512719735
3420,1,4,11215.525343854008
2347,3,4,6309.197741927691
3319,2,4,9831.860964119463
1033,2,1,2182.429726571215
3075,2,3,8979.651418207803
3348,3,3,10636.692709458383
2734,1,4,7733.401630327339
3869,4,2,10681.648786045072
3952,3,2,11053.805249726665
1402,3,4,4598.514275126487
3355,1,2,10650.849512747023
2201,1,1,7287.524331280943
2381,4,4,7500.575880330659
4713,1,2,14064.281027555926
4729,4,2,13717.46086181976
3431,4,2,9643.800448373151
2812,4,3,8722.480396414914
1778,3,4,5965.220913344567
1571,2,4,4339.263299557349
4494,2,4,14148.741921723102
2210,2,4,6843.508445888728
3994,1,1,11535.73898553058
4116,4,2,12709.606153764002
2178,2,2,5823.051374927829
1909,2,1,5775.632978576866
3910,4,1,11851.634905314035
4359,2,2,12609.935671628653
3264,4,3,10199.64216499168
1010,4,1,3798.240384009716
1395,4,2,4255.9095854569205
3297,3,3,9323.5347034974
3929,1,4,12105.511342824924
3253,4,4,10252.637864506225
3819,1,4,12058.705129478354
4762,2,2,14609.970939828781
2343,2,4,7402.589087724261
3504,1,1,10429.28548346103
3857,2,1,10917.385900991425
4857,3,1,13623.28977247458
3841,3,1,12403.949460371163
4536,4,4,14006.610578593994
1883,2,4,5882.355521464934
2258,1,2,7769.844111173606
2643,2,3,7987.637308624668
1481,1,2,4657.169797762489
1837,2,3,6325.017819226286
3974,3,2,11054.132743940529
3583,1,4,10886.97304506074
4203,2,2,13190.658330090242
3658,2,2,10457.193490537296
4520,1,2,13784.914549489375
2733,2,4,7586.916770431323
4846,2,4,13955.576294675342
1488,2,4,4277.933240857624
1920,3,3,6152.984919488434
4410,1,3,13599.424641553187
4760,1,1,14024.706482737298
4777,2,2,14168.515674373371
2106,3,3,5716.568347528134
4556,3,3,13085.356424308564
1544,1,4,5095.000181211036
4008,1,3,11789.927675070172
3385,2,1,9223.151779884296
1732,1,3,6064.3572057682495
4412,2,2,12559.880722182383
3918,1,4,11320.4368103914
3902,4,1,10812.067613230352
3592,4,2,10153.434229567536
3367,3,2,9586.316133486656
3542,2,2,10399.271389447926
2588,4,1,8431.85197789148
2492,4,4,7952.413472308037
1908,1,4,6226.030440189836
2408,1,4,6242.870326158806
3966,1,4,12896.1000394411
2535,1,1,8489.878040032896
3909,1,3,12590.73746948182
3801,1,4,11856.166367946053
3773,2,1,12100.490245137904
1084,2,1,4025.436353668189
3418,3,2,9611.421606538986
3592,3,3,11034.195671516884
3250,2,4,10695.297327833658
3768,3,4,12281.897955996312
4201,1,2,12265.137416059317
1127,4,1,3737.9587844465195
3796,3,1,10834.72903386877
1816,2,4,4742.23400466129
3390,1,3,10517.064677662767
2450,4,3,6458.001840298801
3032,4,4,8920.733631237925
2674,3,3,7625.274534525772
2760,3,4,8722.285509755508
4986,1,1,14115.193482763116
1068,3,3,3542.070084969262
4621,2,4,14652.332414770208
3252,1,2,10489.627067171597
3995,1,3,11959.832864915637
4038,2,2,11855.817833414327
3560,4,1,10862.241825228983
